"","Date","variant","lower_rep","lower_true","mean_rep","mean_true","upper_rep","upper_true"
"22",2020-05-06,"A",7.24557081239855e-06,1.97418883675258e-05,6.23904286375922e-05,0.000174255287167316,0.00032579722168178,0.000945379032023159
"23",2020-05-06,"O",0.00188738609651229,0.00535492899082981,0.00828002203753238,0.0214498295438296,0.0171832424817461,0.045149259255682
"24",2020-05-06,"Al",0,0,0,0,0,0
"25",2020-05-07,"M",0,0,0,0,0,0
"26",2020-05-07,"A",8.06190121601852e-06,2.09764053895469e-05,6.86731112366547e-05,0.000182585464445711,0.000356908678103645,0.000984650681170744
"27",2020-05-07,"O",0.00204374970291308,0.00549212434406774,0.0089130526951526,0.0217917284541456,0.0184441683026799,0.0456907453783166
"28",2020-05-07,"Al",0,0,0,0,0,0
"29",2020-05-08,"M",0,0,0,0,0,0
"30",2020-05-08,"A",8.84962603867766e-06,2.25273963632513e-05,7.45247360456141e-05,0.000193539120046406,0.000385421763421759,0.00103789145700767
"31",2020-05-08,"O",0.00217988634114582,0.00570515848179831,0.00944381290378439,0.0224367093635995,0.0194839301686027,0.0468733125379176
"32",2020-05-08,"Al",0,0,0,0,0,0
"33",2020-05-09,"M",0,0,0,0,0,0
"34",2020-05-09,"A",9.65404672177357e-06,2.43218002242679e-05,8.03444651970473e-05,0.000206349563656303,0.000413445489775138,0.00110063683035016
"35",2020-05-09,"O",0.00230861168917562,0.00596592480670859,0.00993056490293927,0.0232640536410523,0.020425147712538,0.0484344883039024
"36",2020-05-09,"Al",0,0,0,0,0,0
"37",2020-05-10,"M",0,0,0,0,0,0
"38",2020-05-10,"A",1.05013012961226e-05,2.63262806429276e-05,8.6353219312887e-05,0.000220634062582782,0.000442125760079679,0.00117060709937139
"39",2020-05-10,"O",0.00243671992903131,0.00625935185356071,0.010404272489375,0.0242080376762222,0.0213327022312455,0.0502308869846333
"40",2020-05-10,"Al",0,0,0,0,0,0
"41",2020-05-11,"M",0,0,0,0,0,0
"42",2020-05-11,"A",1.14076586823184e-05,2.85304712083746e-05,9.26787788977919e-05,0.000236230128419555,0.000472105187293988,0.00124677145959523
"43",2020-05-11,"O",0.00256783310217834,0.00657791023259554,0.0108813229090219,0.0252349136314426,0.0222406615276441,0.0521884169032473
"44",2020-05-11,"Al",0,0,0,0,0,0
"45",2020-05-12,"M",0,0,0,0,0,0
"46",2020-05-12,"A",1.23845531627181e-05,3.09368238423897e-05,9.94019955497007e-05,0.00025309508327047,0.000503772154659306,0.0013287718653036
"47",2020-05-12,"O",0.00270395150776034,0.00691815073103763,0.011370536280796,0.0263282477721479,0.0231680788123156,0.0542704695727871
"48",2020-05-12,"Al",0,0,0,0,0,0
"49",2020-05-13,"M",0,0,0,0,0,0
"50",2020-05-13,"A",1.34412255950485e-05,3.35550961432155e-05,0.000106580975494534,0.000271251106710682,0.000537390505337665,0.00141660761310369
"51",2020-05-13,"O",0.00284626237125096,0.00727877525041497,0.0118768661555643,0.0274807034003478,0.0241243726447739,0.0564600772827
"52",2020-05-13,"Al",0,0,0,0,0,0
"53",2020-05-14,"M",0,0,0,0,0,0
"54",2020-05-14,"A",1.45860985936121e-05,3.63995104515259e-05,0.000114263555744244,0.000290756635592166,0.000573165942039122,0.00151047118092614
"55",2020-05-14,"O",0.0029955531878386,0.00765961531594407,0.0124033142312409,0.0286896726751339,0.0251149798183267,0.0587504315162955
"56",2020-05-14,"Al",0,0,0,0,0,0
"57",2020-05-15,"M",0,0,0,0,0,0
"58",2020-05-15,"A",1.5827500133523e-05,3.94873497176534e-05,0.000122493733541115,0.000311691914044969,0.000611279862964751,0.00161066510999567
"59",2020-05-15,"O",0.0031524210486925,0.00806110432710548,0.0129519115240366,0.0299550120202162,0.0261436587319022,0.0611399722367184
"60",2020-05-15,"Al",0,0,0,0,0,0
"61",2020-05-16,"M",0,0,0,0,0,0
"62",2020-05-16,"A",1.71740569431244e-05,4.28383061423088e-05,0.000131315017473293,0.000334151901718461,0.000651906692683875,0.00171756083558479
"63",2020-05-16,"O",0.00331737835141293,0.0084840087038421,0.0135242190727769,0.0312778834385279,0.0272131568684817,0.0636298781565723
"64",2020-05-16,"Al",0,0,0,0,0,0
"65",2020-05-17,"M",0,0,0,0,0,0
"66",2020-05-17,"A",1.86233628894315e-05,4.64742218942549e-05,0.000140772225342934,0.000358242958934956,0.000695222918289904,0.00183157889780009
