"","M_fit_M","A_fit_M","O_fit_M","Al_fit_M","T_M_fit_M","T_A_fit_M","T_O_fit_M","T_Al_fit_M","total_M","total_rep_M","M_R0_M","A_R0_M","O_R0_M","Al_R0_M","pPCR_M","M_fit_L","A_fit_L","O_fit_L","Al_fit_L","T_M_fit_L","T_A_fit_L","T_O_fit_L","T_Al_fit_L","total_L","total_rep_L","M_R0_L","A_R0_L","O_R0_L","Al_R0_L","pPCR_L","M_fit_U","A_fit_U","O_fit_U","Al_fit_U","T_M_fit_U","T_A_fit_U","T_O_fit_U","T_Al_fit_U","total_U","total_rep_U","M_R0_U","A_R0_U","O_R0_U","Al_R0_U","pPCR_U"
"215",1002.17514623844,9538.20894767631,4841.85194916168,521.413822593307,6497.61960160154,45457.8682932305,23317.5537831369,2300.87668637321,77573.9183643421,15903.6498656697,1.54517478106805,1.55593436746745,1.2790603338247,2.3136800513166,0.705465548868462,581.598483975291,5630.98347883625,2242.832231257,205.683120005946,1879.50155564171,15150.6514744409,5987.91420864846,866.228386858668,29366.4675190569,11148.6062193927,1.37272818377649,1.43886189031485,1.21978303917384,2.05914893122248,0.705370903425788,1718.68992611531,14826.6485682426,9321.81846975436,1027.64280791286,13449.3602508591,89899.8760791654,54972.3826198165,4171.17950413689,139826.686561085,21411.3582492333,1.75096804152798,1.68521591397617,1.39255146719294,2.57418331052999,0.705537161742745
"216",980.102220795547,9405.79846907495,4670.51174075106,543.746162255193,6402.59043149203,44965.2384114305,22562.9853141065,2409.83380907887,76340.6479661079,15600.1585928768,1.54723747466707,1.55662566346167,1.27962623935825,2.31470174408169,0.701628689544027,566.58211003419,5588.66424379604,2143.19260110822,217.268384550958,1815.51962372619,14754.1821153121,5706.53093634357,904.183728235831,28537.7469891268,10963.1522322211,1.37362260448552,1.43924761109627,1.22017275979631,2.06000685387991,0.70153427197504,1694.66395870316,14566.5823249109,9171.26573792627,1055.64690891568,13243.7261308177,88984.5480765274,53637.1024640974,4376.38009995913,136910.612456503,21039.1342511534,1.75331575191283,1.68678475417381,1.39430213493051,2.5769459208105,0.701701553141634
"217",961.783835555813,9285.52098382779,4509.61440536441,568.081561426589,6326.77291023927,44516.1665953693,21849.5407761007,2527.59418027501,75220.0744619843,15325.0007861746,1.54928775520386,1.55731279961034,1.28018873956218,2.31571728870187,0.697814932733818,558.342767956279,5553.89210595898,2051.02764688648,229.709772415192,1770.12276224958,14429.4381904898,5447.54411327395,956.276390937506,27834.3386584578,10791.9051562394,1.37451164286235,1.43963100845403,1.22056013369749,2.06085961644477,0.697720833032195,1673.74629523556,14334.6258430807,9048.29941288389,1088.65270525884,13080.8313523533,88102.1034612121,52351.5626869655,4594.91279824313,134124.341621715,20689.2996394812,1.75564934300993,1.68834417283596,1.39604229161608,2.57828780552909,0.697889006247433
"218",945.417163290991,9171.40217755876,4356.38496029509,593.970945520847,6260.42834224811,44087.1312519724,21166.2715943677,2652.6081076835,74166.4392962717,15067.1752466657,1.55132346733117,1.55799505349035,1.28074724305601,2.31672561749878,0.694028283742855,555.492095255632,5518.8049474886,1964.41225044683,242.934200471091,1734.48817246621,14143.6720179014,5176.81481984728,1014.66705061004,27204.4820433191,10629.6561067249,1.37539436917146,1.440011679224,1.22094475498182,2.06170632331845,0.693934591975697,1649.71038042842,14117.6339125818,8931.34955469443,1124.7291295556,12943.7199525562,87248.1960696797,51098.1752089248,4825.13826723516,131423.141279,20365.615835838,1.75796635187852,1.68989252009878,1.39777009889738,2.57940785035701,0.694103533371072
"219",930.077737466617,9060.38064929763,4209.30110011166,621.217600499919,6198.5671174468,43666.1568587459,20507.2447785391,2784.24387521483,73156.2126299467,14820.9770873758,1.55334500145556,1.55867255589681,1.28130185691331,2.3177269237929,0.690268014164694,553.063149702089,5486.14100994995,1881.41298458234,256.911443550083,1704.04678326388,13879.8641800821,4923.6280034227,1076.62564834374,26621.0984063622,10473.7210974976,1.37627095501849,1.44038969632357,1.22132620032942,2.06254713718798,0.690174817531677,1615.04356781339,13908.8491291483,8817.72340616123,1162.9434899679,12811.656008904,86408.0732805192,49868.1064158331,5066.45843757312,128784.411269918,20105.5574996176,1.76026721824024,1.69143008745993,1.39948588300863,2.5805200920113,0.690344411665031
"220",915.286051195075,8950.88390051635,4067.49679681141,649.747671040023,6138.64299140537,43247.2115151598,19869.1675471933,2922.32105993252,72177.343113691,14583.4144195629,1.55535612567569,1.55934656964276,1.2818536148927,2.31872307395768,0.686527113475313,550.794151364109,5438.16116984394,1796.02523487341,271.643756617296,1676.43218651766,13629.1648236777,4684.92642994577,1142.19520608888,26140.0656383331,10322.70115251,1.37714303505573,1.44076576431816,1.22170498609914,2.06338362515322,0.686434237850403,1585.2222583483,13729.6072716666,8706.00813267366,1202.85272459423,12681.1122945032,85554.4727945901,48657.0513654655,5318.78614045831,126196.96311417,19849.9854375831,1.76289508360599,1.69290250007793,1.40119283884321,2.58162660397161,0.686604607597978
"221",900.815539445795,8842.1617416452,3930.47851085076,679.551916469086,6079.36638667469,42827.3211620457,19250.1368987403,3066.88343143256,71223.7078788932,14353.0077084108,1.55735225196737,1.56001555708119,1.28240125825413,2.31971179544443,0.682814115506939,548.488553491772,5363.02579152357,1718.86194540245,287.151325586443,1650.418380177,13386.9629390513,4458.83914316703,1209.64606632299,25696.2628157278,10167.5031972774,1.3780086209656,1.44113902517192,1.22208094881854,2.06421387930704,0.682720671956934,1555.86361698623,13568.3018728706,8595.50666324035,1244.26246175603,12550.3496210956,84684.8163517497,47463.0381006502,5582.33157832499,124098.641695067,19597.7067993859,1.76623656429213,1.69425254041068,1.40288707121299,2.58272486158299,0.682892556046544
"222",886.539375261512,8733.82042502498,3797.91899688404,710.648859734537,6020.09414731787,42405.0845327002,18648.9819943906,3218.0886060616,70292.2492804703,14128.9276569051,1.55933643538638,1.56068054207104,1.28294562514367,2.32069460146256,0.679123336907598,545.953252987625,5288.87100092579,1645.05964704845,303.461785876994,1625.37019532837,13150.850172712,4244.14099716009,1268.7951277324,25272.2667945748,9979.30256678872,1.37886903734467,1.44151005012582,1.22245466409209,2.06503917004348,0.679029300193877,1526.74552109629,13407.2160357848,8485.97262379996,1287.24743828602,12418.54636779,83798.3311980678,46285.2873659306,5883.85395903546,122328.8483944,19348.1243206582,1.76955805739037,1.69541140751987,1.40457117173282,2.58381654597709,0.679202707141239
"223",872.403671366587,8625.69825141787,3669.60203772496,743.074946865039,5960.51553068392,41979.9082682707,18064.9180853593,3376.15447933141,69381.4963636454,13910.7789073745,1.56130678746131,1.56134089170069,1.2834861974503,2.32167055660899,0.675458290283136,543.366111049166,5215.51848748633,1574.40896585604,320.60858479309,1600.95817752223,12919.5613288734,4039.96256900203,1330.72245276507,24865.6881495826,9797.43209537638,1.37972346559728,1.44187848597661,1.22282577641265,2.06585871194269,0.675363637559187,1498.34209882501,13246.1239739448,8386.17619515449,1331.74330018308,12306.2022636937,82540.5532426372,45154.1213170144,6199.45395382225,120598.606957078,19101.0692220276,1.77285640087795,1.69613971962568,1.4062435371085,2.58490061800756,0.675538571168309
"224",858.378161055811,8517.72189225143,3545.35715455197,776.873970852551,5900.49068296571,41551.6131659291,17497.3645686665,3541.33330526041,68490.8017228217,13698.3311787118,1.56326445080692,1.56199698889761,1.2840232886439,2.32264022683244,0.671816849941588,540.709519249448,5142.87321572213,1506.74171156418,338.627785081287,1579.51324084326,12692.4243390028,3846.10499421636,1395.53020574348,24475.1657583131,9620.33391296283,1.38057240104342,1.44224454635362,1.22319450112649,2.06667298004883,0.671721621305867,1470.42398991848,13084.9310030376,8286.59175541519,1377.665041426,12216.854170818,81125.9493485396,44179.9127198386,6511.69417227306,118891.442490275,18856.5149538989,1.77613350718786,1.69686333681224,1.40790513648813,2.58597770644226,0.671898018698601
